Area;X;Y;Polygon-Nr;Year
0.003;3793;1704;27;2019
0.018;3061;2204;28;2018
0.022;3405;2104;29;2018
0.015;3601;2084;30;2018
0.029;3889;2148;31;2018
0.029;3777;2580;32;2017
0.012;3295;2699;33;2016
0.014;3469;2708;34;2016
0.013;3712;2723;35;2015
0.010;3778;3179;36;2013
0.018;3055;3357;37;2012
0.014;3157;3534;38;2012
0.069;3301;3582;39;2012
0.044;3165;3756;40;2011
0.052;3561;3771;41;2011
0.024;3900;3768;42;2011
0.088;3175;3800;43;2010
0.040;3619;3779;44;2010
0.033;3811;3815;45;2010
0.010;2990;4321;46;2009
0.020;3134;4345;47;2009
0.014;3626;4189;48;2009
0.033;3854;4138;49;2009
0.042;3320;4632;50;2008
0.047;3635;4560;51;2008
0.011;3159;5264;52;2007
0.036;3645;4916;53;2007
0.014;3431;5355;54;2006
0.012;3481;5203;55;2006
0.017;3697;5323;56;2006
0.031;3436;5354;57;2005
0.025;3742;5320;58;2005
0.014;2988;5628;59;2005
0.027;3225;5731;60;2004
0.009;3419;5677;61;2004
0.023;3693;5695;62;2004
0.024;3941;6338;63;2003
